product_id,product_name,category,price,stock,rating
1.5,iPhone 13 Pro!@#,ELECTRONICS,999.999,50.5,4.85
2,Samsung  Galaxy  S21,electronics,899.99,30,4.7
2,SAMSUNG GALAXY S21,Electronics,899.99,35,4.7
3,MacBook Pro  16",electronics,,20,-1
4,Dell XPS 13,Electronics,1299.99,NULL,4.600001
5,Nike Air MAX,Shoes,129.999,100.0,4.5
6,  Nike  Air Max  ,SHOES,12999.99,100000,4.5
7,Levi's 501,Clothing,59.99,-5,0.5
8,adidas  Ultra BOOST,shoes,179.99,0.001,6
9,,invalid-category,89.99,25,3.9
10,Under Armour Shirt,CLOTHING,29.99,9999,4.2
11,puma running shoes,shoes,119.99,50,invalid
12,New Balance 990,Shoes,174.99,15,6.0
,Missing Product,Unknown,0,,2.5
13,Product with @ Special # Characters,Books,-10,1000001,5.1
